year,state_norm,district_norm,children,cyber,ipc,sll,women,ipc_log,ipc_state_pct,sll_log,sll_state_pct,women_log,women_state_pct,children_log,children_state_pct,cyber_log,cyber_state_pct,ipc_prev,ipc_growth,ipc_gap_years,women_prev,women_growth,women_gap_years,children_prev,children_growth,children_gap_years,cyber_prev,cyber_growth,cyber_gap_years,severity,risk_class,target_severity,target_year,d_key,s_key
2011,a n islands,south,0.0,0.0,544.0,0.0,0.0,6.300785794663244,0.5714285714285714,0.0,0.5714285714285714,0.0,0.3571428571428571,0.0,0.4285714285714285,0.0,0.5714285714285714,544.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5142857142857142,medium,0.6571428571428571,2012.0,south,andaman and nicobar islands
2012,a n islands,south,19.0,0.0,544.0,0.0,36.0,6.300785794663244,0.5714285714285714,0.0,0.5714285714285714,3.610917912644224,0.8571428571428571,2.995732273553991,0.8571428571428571,0.0,0.5714285714285714,544.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.6571428571428571,medium,0.75,2013.0,south,andaman and nicobar islands
2013,a n islands,south,38.0,0.0,432.0,0.0,71.0,6.07073772800249,0.8,0.0,0.6,4.276666119016055,0.8,3.6635616461296463,0.8,0.0,0.6,544.0,-0.2058823529411764,1.0,36.0,0.9722222222222222,1.0,19.0,1.0,1.0,0.0,0.0,1.0,0.75,high,,,south,andaman and nicobar islands
2014,a n islands,south andaman,0.0,0.0,556.0,0.0,93.0,6.322565239927284,0.75,0.0,0.625,4.543294782270004,0.75,0.0,0.625,0.0,0.625,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.70625,high,0.75,2020.0,south andaman,andaman and nicobar islands
2020,a n islands,south andaman,71.0,5.0,299.0,480.0,98.0,5.703782474656201,0.75,6.175867270105761,0.75,4.59511985013459,0.75,4.276666119016055,0.75,1.791759469228055,0.75,556.0,-0.4622302158273381,6.0,93.0,0.053763440860215,6.0,0.0,0.0,6.0,0.0,0.0,6.0,0.75,high,0.75,2022.0,south andaman,andaman and nicobar islands
2022,a n islands,south andaman,97.0,25.0,367.0,674.0,118.0,5.908082938168931,0.75,6.51471269087253,0.75,4.77912349311153,0.75,4.584967478670572,0.75,3.258096538021482,0.75,299.0,0.2274247491638795,2.0,98.0,0.2040816326530612,2.0,71.0,0.3661971830985915,2.0,5.0,4.0,2.0,0.75,high,0.75,2023.0,south andaman,andaman and nicobar islands
2023,a n islands,south andaman,91.0,31.0,488.0,734.0,125.0,6.192362489474872,0.75,6.5998704992128365,0.75,4.836281906951478,0.75,4.5217885770490405,0.75,3.4657359027997265,0.75,367.0,0.329700272479564,1.0,118.0,0.059322033898305,1.0,97.0,-0.0618556701030927,1.0,25.0,0.24,1.0,0.75,high,0.75,2024.0,south andaman,andaman and nicobar islands
2024,a n islands,south andaman,75.0,17.0,395.0,631.0,88.0,5.981414211254481,0.75,6.448889394146858,0.75,4.48863636973214,0.75,4.330733340286331,0.75,2.8903717578961645,0.75,488.0,-0.1905737704918032,1.0,125.0,-0.296,1.0,91.0,-0.1758241758241758,1.0,31.0,-0.4516129032258064,1.0,0.75,high,,,south andaman,andaman and nicobar islands
2010,a n islands,total,51.0,0.0,9102.0,0.0,82.0,9.116359308505288,1.0,0.0,0.5714285714285714,4.418840607796598,1.0,3.951243718581428,0.9285714285714286,0.0,0.5714285714285714,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8857142857142858,critical,0.8857142857142858,2011.0,total,andaman and nicobar islands
2011,a n islands,total,31.0,0.0,9102.0,0.0,48.0,9.116359308505288,1.0,0.0,0.5714285714285714,3.8918202981106265,1.0,3.4657359027997265,0.9285714285714286,0.0,0.5714285714285714,9102.0,0.0,1.0,82.0,-0.4146341463414634,1.0,51.0,-0.392156862745098,1.0,0.0,0.0,1.0,0.8857142857142858,critical,0.8928571428571429,2012.0,total,andaman and nicobar islands
2012,a n islands,total,28.0,0.0,9102.0,0.0,47.0,9.116359308505288,1.0,0.0,0.5714285714285714,3.871201010907891,1.0,3.367295829986474,1.0,0.0,0.5714285714285714,9102.0,0.0,1.0,48.0,-0.0208333333333333,1.0,31.0,-0.0967741935483871,1.0,0.0,0.0,1.0,0.8928571428571429,critical,0.38,2013.0,total,andaman and nicobar islands
2013,a n islands,total,54.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.2,4.007333185232471,1.0,0.0,0.6,9102.0,-1.0,1.0,47.0,-1.0,1.0,28.0,0.9285714285714286,1.0,0.0,0.0,1.0,0.38,low,0.86875,2014.0,total,andaman and nicobar islands
2014,a n islands,total,0.0,0.0,746.0,0.0,140.0,6.616065185132817,1.0,0.0,0.625,4.948759890378168,1.0,0.0,0.625,0.0,0.625,0.0,0.0,1.0,0.0,0.0,1.0,54.0,-1.0,1.0,0.0,0.0,1.0,0.86875,high,,,total,andaman and nicobar islands
2020,a n islands,total districts,124.0,8.0,386.0,946.0,169.0,5.958424693029782,1.0,6.853299093186078,1.0,5.135798437050262,1.0,4.8283137373023015,1.0,2.19722457733622,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,critical,1.0,2022.0,total districts,andaman and nicobar islands
2022,a n islands,total districts,146.0,28.0,460.0,1129.0,178.0,6.133398042996649,1.0,7.029972911706386,1.0,5.187385805840755,1.0,4.990432586778736,1.0,3.367295829986474,1.0,386.0,0.1917098445595854,2.0,169.0,0.0532544378698224,2.0,124.0,0.1774193548387097,2.0,8.0,2.5,2.0,1.0,critical,1.0,2023.0,total districts,andaman and nicobar islands
2023,a n islands,total districts,161.0,47.0,587.0,1286.0,205.0,6.376726947898627,1.0,7.160069207596127,1.0,5.327876168789581,1.0,5.087596335232384,1.0,3.871201010907891,1.0,460.0,0.2760869565217391,1.0,178.0,0.1516853932584269,1.0,146.0,0.1027397260273972,1.0,28.0,0.6785714285714286,1.0,1.0,critical,1.0,2024.0,total districts,andaman and nicobar islands
2024,a n islands,total districts,138.0,28.0,522.0,1175.0,156.0,6.259581464064923,1.0,7.069874128458572,1.0,5.056245805348308,1.0,4.934473933130692,1.0,3.367295829986474,1.0,587.0,-0.110732538330494,1.0,205.0,-0.2390243902439024,1.0,161.0,-0.1428571428571428,1.0,47.0,-0.4042553191489361,1.0,1.0,critical,,,total districts,andaman and nicobar islands
2013,a n islands,zz total,0.0,0.0,612.0,0.0,102.0,6.418364935936212,1.0,0.0,0.6,4.634728988229636,1.0,0.0,0.2,0.0,0.6,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8200000000000001,high,,,zz total,andaman and nicobar islands
2010,andhra pradesh,adilabad,13.0,0.0,61959.0,0.0,831.0,11.034244294530804,0.5714285714285714,0.0,0.5142857142857142,6.723832440821209,0.7142857142857143,2.6390573296152584,0.3714285714285714,0.0,0.5142857142857142,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.5657142857142856,medium,0.5971428571428571,2011.0,adilabad,andhra pradesh
2011,andhra pradesh,adilabad,103.0,0.0,61959.0,0.0,857.0,11.034244294530804,0.5714285714285714,0.0,0.5142857142857142,6.754604099487962,0.6571428571428571,4.6443908991413725,0.8,0.0,0.5142857142857142,61959.0,0.0,1.0,831.0,0.0312876052948255,1.0,13.0,6.923076923076923,1.0,0.0,0.0,1.0,0.5971428571428571,medium,0.5885714285714284,2012.0,adilabad,andhra pradesh
2012,andhra pradesh,adilabad,77.0,0.0,61959.0,0.0,899.0,11.034244294530804,0.5714285714285714,0.0,0.5142857142857142,6.802394763324311,0.6857142857142857,4.356708826689592,0.6571428571428571,0.0,0.5142857142857142,61959.0,0.0,1.0,857.0,0.0490081680280046,1.0,103.0,-0.2524271844660194,1.0,0.0,0.0,1.0,0.5885714285714284,medium,0.47,2013.0,adilabad,andhra pradesh
2013,andhra pradesh,adilabad,33.0,0.0,6381.0,0.0,919.0,8.76123680683819,0.4285714285714285,0.0,0.5142857142857142,6.824373670043086,0.6,3.5263605246161616,0.2857142857142857,0.0,0.5142857142857142,61959.0,-0.8970125405510095,1.0,899.0,0.0222469410456062,1.0,77.0,-0.5714285714285714,1.0,0.0,0.0,1.0,0.47,medium,,,adilabad,andhra pradesh
2010,andhra pradesh,anantapur,6.0,0.0,59927.0,0.0,517.0,11.000899120627718,0.4571428571428571,0.0,0.5142857142857142,6.249975242259483,0.3428571428571428,1.9459101490553128,0.2428571428571428,0.0,0.5142857142857142,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.4271428571428571,medium,0.44,2011.0,anantapur,andhra pradesh
2011,andhra pradesh,anantapur,44.0,0.0,59927.0,0.0,505.0,11.000899120627718,0.4571428571428571,0.0,0.5142857142857142,6.226536669287466,0.3142857142857143,3.80666248977032,0.4285714285714285,0.0,0.5142857142857142,59927.0,0.0,1.0,517.0,-0.02321083172147,1.0,6.0,6.333333333333333,1.0,0.0,0.0,1.0,0.44,medium,0.4314285714285714,2012.0,anantapur,andhra pradesh
2012,andhra pradesh,anantapur,48.0,0.0,59927.0,0.0,433.0,11.000899120627718,0.4571428571428571,0.0,0.5142857142857142,6.073044534100405,0.2857142857142857,3.8918202981106265,0.4,0.0,0.5142857142857142,59927.0,0.0,1.0,505.0,-0.1425742574257425,1.0,44.0,0.0909090909090909,1.0,0.0,0.0,1.0,0.4314285714285714,medium,0.5157142857142857,2013.0,anantapur,andhra pradesh
2013,andhra pradesh,anantapur,87.0,0.0,6913.0,0.0,676.0,8.84130362048157,0.5714285714285714,0.0,0.5142857142857142,6.517671272912275,0.3428571428571428,4.477336814478207,0.6142857142857143,0.0,0.5142857142857142,59927.0,-0.8846429822951257,1.0,433.0,0.5612009237875288,1.0,48.0,0.8125,1.0,0.0,0.0,1.0,0.5157142857142857,medium,0.6833333333333333,2014.0,anantapur,andhra pradesh
2014,andhra pradesh,anantapur,0.0,0.0,8376.0,0.0,1097.0,9.033245134153807,0.8571428571428571,0.0,0.5238095238095238,7.001245622069476,0.5714285714285714,0.0,0.5238095238095238,0.0,0.5238095238095238,6913.0,0.211630261825546,1.0,676.0,0.6227810650887574,1.0,87.0,-1.0,1.0,0.0,0.0,1.0,0.6833333333333333,medium,,,anantapur,andhra pradesh
2010,andhra pradesh,chittoor,5.0,0.0,75471.0,0.0,777.0,11.231517005524044,0.7714285714285715,0.0,0.5142857142857142,6.656726524178391,0.6285714285714286,1.791759469228055,0.2,0.0,0.5142857142857142,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.6214285714285714,medium,0.6328571428571429,2011.0,chittoor,andhra pradesh
2011,andhra pradesh,chittoor,26.0,0.0,75471.0,0.0,802.0,11.231517005524044,0.7714285714285715,0.0,0.5142857142857142,6.688354713946762,0.6285714285714286,3.295836866004329,0.3142857142857143,0.0,0.5142857142857142,75471.0,0.0,1.0,777.0,0.0321750321750321,1.0,5.0,4.2,1.0,0.0,0.0,1.0,0.6328571428571429,medium,0.6199999999999999,2012.0,chittoor,andhra pradesh
2012,andhra pradesh,chittoor,31.0,0.0,75471.0,0.0,808.0,11.231517005524044,0.7714285714285715,0.0,0.5142857142857142,6.695798917058491,0.6,3.4657359027997265,0.2428571428571428,0.0,0.5142857142857142,75471.0,0.0,1.0,802.0,0.0074812967581047,1.0,26.0,0.1923076923076923,1.0,0.0,0.0,1.0,0.6199999999999999,medium,0.3971428571428572,2013.0,chittoor,andhra pradesh
2013,andhra pradesh,chittoor,7.0,0.0,5610.0,0.0,709.0,8.632484235750972,0.4,0.0,0.5142857142857142,6.565264970035361,0.3714285714285714,2.079441541679836,0.1428571428571428,0.0,0.5142857142857142,75471.0,-0.9256668124180149,1.0,808.0,-0.1225247524752475,1.0,31.0,-0.7741935483870968,1.0,0.0,0.0,1.0,0.3971428571428572,low,0.411904761904762,2014.0,chittoor,andhra pradesh
2014,andhra pradesh,chittoor,0.0,0.0,5374.0,0.0,607.0,8.589513852995864,0.3809523809523809,0.0,0.5238095238095238,6.410174881966167,0.2857142857142857,0.0,0.5238095238095238,0.0,0.5238095238095238,5610.0,-0.0420677361853832,1.0,709.0,-0.1438645980253878,1.0,7.0,-1.0,1.0,0.0,0.0,1.0,0.411904761904762,medium,,,chittoor,andhra pradesh
2010,andhra pradesh,cuddapah,69.0,0.0,58147.0,0.0,608.0,10.970746763546217,0.4285714285714285,0.0,0.5142857142857142,6.411818267709897,0.4714285714285714,4.248495242049359,0.6857142857142857,0.0,0.5142857142857142,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.4842857142857142,medium,0.4271428571428571,2011.0,kadapa,andhra pradesh
2011,andhra pradesh,cuddapah,59.0,0.0,58147.0,0.0,404.0,10.970746763546217,0.4285714285714285,0.0,0.5142857142857142,6.003887067106539,0.2571428571428571,4.0943445622221,0.5428571428571428,0.0,0.5142857142857142,58147.0,0.0,1.0,608.0,-0.3355263157894737,1.0,69.0,-0.144927536231884,1.0,0.0,0.0,1.0,0.4271428571428571,medium,0.4385714285714285,2012.0,kadapa,andhra pradesh
2012,andhra pradesh,cuddapah,60.0,0.0,58147.0,0.0,457.0,10.970746763546217,0.4285714285714285,0.0,0.5142857142857142,6.126869184114185,0.3142857142857143,4.110873864173311,0.5428571428571428,0.0,0.5142857142857142,58147.0,0.0,1.0,404.0,0.1311881188118812,1.0,59.0,0.0169491525423728,1.0,0.0,0.0,1.0,0.4385714285714285,medium,0.5457142857142857,2013.0,kadapa,andhra pradesh
2013,andhra pradesh,cuddapah,49.0,0.0,7048.0,0.0,766.0,8.860641041773876,0.6285714285714286,0.0,0.5142857142857142,6.642486801367256,0.4857142857142857,3.912023005428146,0.3714285714285714,0.0,0.5142857142857142,58147.0,-0.8787899633687034,1.0,457.0,0.6761487964989059,1.0,60.0,-0.1833333333333333,1.0,0.0,0.0,1.0,0.5457142857142857,medium,0.4642857142857143,2014.0,kadapa,andhra pradesh
2014,andhra pradesh,cuddapah,0.0,0.0,5803.0,0.0,609.0,8.666302614004078,0.4761904761904761,0.0,0.5238095238095238,6.413458957167357,0.3333333333333333,0.0,0.5238095238095238,0.0,0.5238095238095238,7048.0,-0.1766458569807037,1.0,766.0,-0.2049608355091383,1.0,49.0,-1.0,1.0,0.0,0.0,1.0,0.4642857142857143,medium,,,kadapa,andhra pradesh
2010,andhra pradesh,cyberabad,39.0,0.0,141743.0,0.0,2815.0,11.861777892651814,0.9428571428571428,0.0,0.5142857142857142,7.943072717277933,0.9714285714285714,3.688879454113936,0.5428571428571428,0.0,0.5142857142857142,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.8014285714285714,high,0.8099999999999999,2011.0,cyberabad,andhra pradesh
2011,andhra pradesh,cyberabad,75.0,0.0,141743.0,0.0,2033.0,11.861777892651814,0.9428571428571428,0.0,0.5142857142857142,7.617759576608505,0.9714285714285714,4.330733340286331,0.6285714285714286,0.0,0.5142857142857142,141743.0,0.0,1.0,2815.0,-0.277797513321492,1.0,39.0,0.9230769230769232,1.0,0.0,0.0,1.0,0.8099999999999999,high,0.8214285714285714,2012.0,cyberabad,andhra pradesh
2012,andhra pradesh,cyberabad,141.0,0.0,141743.0,0.0,1663.0,11.861777892651814,0.9428571428571428,0.0,0.5142857142857142,7.416979621381154,0.9142857142857144,4.955827057601261,0.8571428571428571,0.0,0.5142857142857142,141743.0,0.0,1.0,2033.0,-0.1819970486965076,1.0,75.0,0.88,1.0,0.0,0.0,1.0,0.8214285714285714,high,0.8485714285714285,2013.0,cyberabad,andhra pradesh
2013,andhra pradesh,cyberabad,156.0,0.0,19992.0,0.0,2524.0,9.903137491271831,0.9714285714285714,0.0,0.5142857142857142,7.83399634170946,0.9714285714285714,5.056245805348308,0.8857142857142857,0.0,0.5142857142857142,141743.0,-0.8589559978270532,1.0,1663.0,0.5177390258568851,1.0,141.0,0.1063829787234042,1.0,0.0,0.0,1.0,0.8485714285714285,high,,,cyberabad,andhra pradesh
2010,andhra pradesh,east godavari,16.0,0.0,93193.0,0.0,743.0,11.442438620918947,0.8571428571428571,0.0,0.5142857142857142,6.612041034833092,0.5714285714285714,2.833213344056216,0.4142857142857143,0.0,0.5142857142857142,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.6699999999999999,medium,0.7514285714285714,2011.0,east godavari,andhra pradesh
2011,andhra pradesh,east godavari,93.0,0.0,93193.0,0.0,1115.0,11.442438620918947,0.8571428571428571,0.0,0.5142857142857142,7.017506142941256,0.8,4.543294782270004,0.7714285714285715,0.0,0.5142857142857142,93193.0,0.0,1.0,743.0,0.5006729475100942,1.0,16.0,4.8125,1.0,0.0,0.0,1.0,0.7514285714285714,high,0.7414285714285714,2012.0,east godavari,andhra pradesh
